Run,Agent,Iteration,Total Clicks
0,PPO Bidder - Gross Utility 1,0,1548
0,PPO Bidder - Gross Utility 1,1,4490
0,PPO Bidder - Gross Utility 1,2,9767
0,PPO Bidder - Gross Utility 1,3,10003
0,PPO Bidder - Gross Utility 1,4,9968
0,PPO Bidder - Gross Utility 1,5,10004
0,PPO Bidder - Gross Utility 1,6,9898
0,PPO Bidder - Gross Utility 1,7,9468
0,PPO Bidder - Gross Utility 1,8,9622
0,PPO Bidder - Gross Utility 1,9,9662
0,PPO Bidder - Gross Utility 1,10,9303
0,PPO Bidder - Gross Utility 1,11,9635
0,PPO Bidder - Gross Utility 1,12,9384
0,PPO Bidder - Gross Utility 1,13,9413
0,PPO Bidder - Gross Utility 1,14,9555
0,PPO Bidder - Gross Utility 1,15,9793
0,PPO Bidder - Gross Utility 1,16,9613
0,PPO Bidder - Gross Utility 1,17,9410
0,PPO Bidder - Gross Utility 1,18,9418
0,PPO Bidder - Gross Utility 1,19,9751
0,PPO Bidder - Gross Utility 1,20,9381
0,PPO Bidder - Gross Utility 1,21,9603
0,PPO Bidder - Gross Utility 1,22,9628
0,PPO Bidder - Gross Utility 1,23,9707
0,PPO Bidder - Gross Utility 1,24,9848
0,Truthful Competitor 2,0,34
0,Truthful Competitor 2,1,328
0,Truthful Competitor 2,2,714
0,Truthful Competitor 2,3,716
0,Truthful Competitor 2,4,721
0,Truthful Competitor 2,5,654
0,Truthful Competitor 2,6,647
0,Truthful Competitor 2,7,689
0,Truthful Competitor 2,8,609
0,Truthful Competitor 2,9,627
0,Truthful Competitor 2,10,633
0,Truthful Competitor 2,11,702
0,Truthful Competitor 2,12,689
0,Truthful Competitor 2,13,677
0,Truthful Competitor 2,14,640
0,Truthful Competitor 2,15,638
0,Truthful Competitor 2,16,682
0,Truthful Competitor 2,17,657
0,Truthful Competitor 2,18,747
0,Truthful Competitor 2,19,717
0,Truthful Competitor 2,20,689
0,Truthful Competitor 2,21,697
0,Truthful Competitor 2,22,676
0,Truthful Competitor 2,23,595
0,Truthful Competitor 2,24,585
0,Truthful Competitor 3,0,0
0,Truthful Competitor 3,1,1079
0,Truthful Competitor 3,2,1122
0,Truthful Competitor 3,3,1284
0,Truthful Competitor 3,4,1214
0,Truthful Competitor 3,5,1199
0,Truthful Competitor 3,6,1259
0,Truthful Competitor 3,7,1063
0,Truthful Competitor 3,8,1268
0,Truthful Competitor 3,9,1258
0,Truthful Competitor 3,10,1257
0,Truthful Competitor 3,11,1270
0,Truthful Competitor 3,12,1184
0,Truthful Competitor 3,13,1201
0,Truthful Competitor 3,14,1206
0,Truthful Competitor 3,15,1159
0,Truthful Competitor 3,16,1097
0,Truthful Competitor 3,17,1206
0,Truthful Competitor 3,18,1407
0,Truthful Competitor 3,19,1331
0,Truthful Competitor 3,20,1168
0,Truthful Competitor 3,21,1091
0,Truthful Competitor 3,22,1160
0,Truthful Competitor 3,23,1310
0,Truthful Competitor 3,24,1233
0,Truthful Competitor 4,0,80
0,Truthful Competitor 4,1,746
0,Truthful Competitor 4,2,937
0,Truthful Competitor 4,3,935
0,Truthful Competitor 4,4,922
0,Truthful Competitor 4,5,965
0,Truthful Competitor 4,6,973
0,Truthful Competitor 4,7,939
0,Truthful Competitor 4,8,973
0,Truthful Competitor 4,9,964
0,Truthful Competitor 4,10,1059
0,Truthful Competitor 4,11,1010
0,Truthful Competitor 4,12,979
0,Truthful Competitor 4,13,933
0,Truthful Competitor 4,14,1026
0,Truthful Competitor 4,15,971
0,Truthful Competitor 4,16,931
0,Truthful Competitor 4,17,1008
0,Truthful Competitor 4,18,1039
0,Truthful Competitor 4,19,957
0,Truthful Competitor 4,20,1057
0,Truthful Competitor 4,21,938
0,Truthful Competitor 4,22,966
0,Truthful Competitor 4,23,984
0,Truthful Competitor 4,24,939
0,Truthful Competitor 5,0,0
0,Truthful Competitor 5,1,0
0,Truthful Competitor 5,2,0
0,Truthful Competitor 5,3,0
0,Truthful Competitor 5,4,0
0,Truthful Competitor 5,5,0
0,Truthful Competitor 5,6,0
0,Truthful Competitor 5,7,0
0,Truthful Competitor 5,8,0
0,Truthful Competitor 5,9,0
0,Truthful Competitor 5,10,0
0,Truthful Competitor 5,11,0
0,Truthful Competitor 5,12,0
0,Truthful Competitor 5,13,0
0,Truthful Competitor 5,14,0
0,Truthful Competitor 5,15,0
0,Truthful Competitor 5,16,0
0,Truthful Competitor 5,17,0
0,Truthful Competitor 5,18,0
0,Truthful Competitor 5,19,0
0,Truthful Competitor 5,20,0
0,Truthful Competitor 5,21,0
0,Truthful Competitor 5,22,0
0,Truthful Competitor 5,23,0
0,Truthful Competitor 5,24,0
0,Truthful Competitor 6,0,1177
0,Truthful Competitor 6,1,1
0,Truthful Competitor 6,2,0
0,Truthful Competitor 6,3,0
0,Truthful Competitor 6,4,0
0,Truthful Competitor 6,5,0
0,Truthful Competitor 6,6,0
0,Truthful Competitor 6,7,0
0,Truthful Competitor 6,8,0
0,Truthful Competitor 6,9,0
0,Truthful Competitor 6,10,0
0,Truthful Competitor 6,11,0
0,Truthful Competitor 6,12,0
0,Truthful Competitor 6,13,0
0,Truthful Competitor 6,14,0
0,Truthful Competitor 6,15,0
0,Truthful Competitor 6,16,0
0,Truthful Competitor 6,17,0
0,Truthful Competitor 6,18,0
0,Truthful Competitor 6,19,0
0,Truthful Competitor 6,20,0
0,Truthful Competitor 6,21,0
0,Truthful Competitor 6,22,0
0,Truthful Competitor 6,23,0
0,Truthful Competitor 6,24,0
0,Truthful Competitor 7,0,338
0,Truthful Competitor 7,1,2373
0,Truthful Competitor 7,2,6095
0,Truthful Competitor 7,3,5762
0,Truthful Competitor 7,4,5903
0,Truthful Competitor 7,5,5853
0,Truthful Competitor 7,6,5780
0,Truthful Competitor 7,7,5728
0,Truthful Competitor 7,8,5947
0,Truthful Competitor 7,9,5914
0,Truthful Competitor 7,10,5761
0,Truthful Competitor 7,11,5768
0,Truthful Competitor 7,12,5910
0,Truthful Competitor 7,13,5906
0,Truthful Competitor 7,14,6080
0,Truthful Competitor 7,15,5957
0,Truthful Competitor 7,16,5879
0,Truthful Competitor 7,17,5707
0,Truthful Competitor 7,18,5799
0,Truthful Competitor 7,19,5670
0,Truthful Competitor 7,20,5700
0,Truthful Competitor 7,21,5951
0,Truthful Competitor 7,22,5935
0,Truthful Competitor 7,23,5822
0,Truthful Competitor 7,24,5673
0,Truthful Competitor 8,0,28
0,Truthful Competitor 8,1,3138
0,Truthful Competitor 8,2,674
0,Truthful Competitor 8,3,768
0,Truthful Competitor 8,4,666
0,Truthful Competitor 8,5,769
0,Truthful Competitor 8,6,805
0,Truthful Competitor 8,7,692
0,Truthful Competitor 8,8,824
0,Truthful Competitor 8,9,722
0,Truthful Competitor 8,10,705
0,Truthful Competitor 8,11,840
