Run,Agent,Iteration,ACoS
0,PPO Bidder - Net Utility 1,0,4.660419655215197
0,PPO Bidder - Net Utility 1,1,0.22913117126210084
0,PPO Bidder - Net Utility 1,2,0.19823747365626673
0,PPO Bidder - Net Utility 1,3,0.1835961684490883
0,PPO Bidder - Net Utility 1,4,0.19728528955341232
0,PPO Bidder - Net Utility 1,5,0.19323568793261664
0,PPO Bidder - Net Utility 1,6,0.2037330700646449
0,PPO Bidder - Net Utility 1,7,0.20067494152263604
0,PPO Bidder - Net Utility 1,8,0.21081270203473942
0,PPO Bidder - Net Utility 1,9,0.20199943854005115
0,PPO Bidder - Net Utility 1,10,0.19652861325953064
0,PPO Bidder - Net Utility 1,11,0.19890268798797706
0,PPO Bidder - Net Utility 1,12,0.2100456723901696
0,PPO Bidder - Net Utility 1,13,0.209292012298277
0,PPO Bidder - Net Utility 1,14,0.2113562066707494
0,PPO Bidder - Net Utility 1,15,0.20508153728909576
0,PPO Bidder - Net Utility 1,16,0.2295391960656679
0,PPO Bidder - Net Utility 1,17,0.19657081392952166
0,PPO Bidder - Net Utility 1,18,0.20537535356986536
0,PPO Bidder - Net Utility 1,19,0.20970212396671184
0,PPO Bidder - Net Utility 1,20,0.20763405291643128
0,PPO Bidder - Net Utility 1,21,0.20732274102440582
0,PPO Bidder - Net Utility 1,22,0.21209947536288953
0,PPO Bidder - Net Utility 1,23,0.21777370080224803
0,PPO Bidder - Net Utility 1,24,0.21450192327156112
0,Truthful Competitor 2,0,1.3807820204901806
0,Truthful Competitor 2,1,0.5361261554328608
0,Truthful Competitor 2,2,0.3842604124783243
0,Truthful Competitor 2,3,0.35728593130559555
0,Truthful Competitor 2,4,0.3309359071623533
0,Truthful Competitor 2,5,0.40114138448588327
0,Truthful Competitor 2,6,0.2908400669060142
0,Truthful Competitor 2,7,0.38267207756649047
0,Truthful Competitor 2,8,0.46317245500788595
0,Truthful Competitor 2,9,0.3084218057900915
0,Truthful Competitor 2,10,0.3517780619499316
0,Truthful Competitor 2,11,0.40183442816732917
0,Truthful Competitor 2,12,0.3597693054287301
0,Truthful Competitor 2,13,0.351650821628531
0,Truthful Competitor 2,14,0.26136502357290964
0,Truthful Competitor 2,15,0.372026908326697
0,Truthful Competitor 2,16,0.40093961183703947
0,Truthful Competitor 2,17,0.3595981299836279
0,Truthful Competitor 2,18,0.2701140050225245
0,Truthful Competitor 2,19,0.31930073829298655
0,Truthful Competitor 2,20,0.415292579192295
0,Truthful Competitor 2,21,0.34711247314012905
0,Truthful Competitor 2,22,0.2883270319435352
0,Truthful Competitor 2,23,0.31093976319880057
0,Truthful Competitor 2,24,0.3429327111546342
0,Truthful Competitor 3,0,inf
0,Truthful Competitor 3,1,0.0
0,Truthful Competitor 3,2,0.0
0,Truthful Competitor 3,3,0.0
0,Truthful Competitor 3,4,0.0
0,Truthful Competitor 3,5,0.0
0,Truthful Competitor 3,6,0.0
0,Truthful Competitor 3,7,0.0
0,Truthful Competitor 3,8,0.0
0,Truthful Competitor 3,9,0.0
0,Truthful Competitor 3,10,0.0
0,Truthful Competitor 3,11,0.0
0,Truthful Competitor 3,12,0.0
0,Truthful Competitor 3,13,0.0
0,Truthful Competitor 3,14,0.0
0,Truthful Competitor 3,15,0.0
0,Truthful Competitor 3,16,0.0
0,Truthful Competitor 3,17,0.0
0,Truthful Competitor 3,18,0.0
0,Truthful Competitor 3,19,0.0
0,Truthful Competitor 3,20,0.0
0,Truthful Competitor 3,21,0.0
0,Truthful Competitor 3,22,0.0
0,Truthful Competitor 3,23,0.0
0,Truthful Competitor 3,24,0.0
0,Truthful Competitor 4,0,2.959495602155362
0,Truthful Competitor 4,1,0.5613701232587873
0,Truthful Competitor 4,2,0.33448555401367536
0,Truthful Competitor 4,3,0.41160083373695794
0,Truthful Competitor 4,4,0.4327311040422224
0,Truthful Competitor 4,5,0.4419730525226117
0,Truthful Competitor 4,6,0.40510456913317716
0,Truthful Competitor 4,7,0.35162826470967745
0,Truthful Competitor 4,8,0.40241667083290145
0,Truthful Competitor 4,9,0.4199032114503136
0,Truthful Competitor 4,10,0.35473673757584323
0,Truthful Competitor 4,11,0.4377371328121092
0,Truthful Competitor 4,12,0.4030299577283496
0,Truthful Competitor 4,13,0.3711796384945416
0,Truthful Competitor 4,14,0.37652904674351106
0,Truthful Competitor 4,15,0.4151547007866799
0,Truthful Competitor 4,16,0.3613566949227847
0,Truthful Competitor 4,17,0.397361361905618
0,Truthful Competitor 4,18,0.42437876021447757
0,Truthful Competitor 4,19,0.41080852704829735
0,Truthful Competitor 4,20,0.3966030751285309
0,Truthful Competitor 4,21,0.46551186300849656
0,Truthful Competitor 4,22,0.35992537159301363
0,Truthful Competitor 4,23,0.40931131378607094
0,Truthful Competitor 4,24,0.40231097875248256
0,Truthful Competitor 5,0,inf
0,Truthful Competitor 5,1,0.34310781210048624
0,Truthful Competitor 5,2,0.3972132134490288
0,Truthful Competitor 5,3,0.2839171835604453
0,Truthful Competitor 5,4,0.40613571223810824
0,Truthful Competitor 5,5,0.31697242076538434
0,Truthful Competitor 5,6,0.28923426701100236
0,Truthful Competitor 5,7,0.316181425348074
0,Truthful Competitor 5,8,0.28767465090167105
0,Truthful Competitor 5,9,0.3695911503784315
0,Truthful Competitor 5,10,0.2993635251283013
0,Truthful Competitor 5,11,0.32314973815475107
0,Truthful Competitor 5,12,0.297761295279819
0,Truthful Competitor 5,13,0.30518094033831195
0,Truthful Competitor 5,14,0.34375837913173757
0,Truthful Competitor 5,15,0.3855985875718246
0,Truthful Competitor 5,16,0.33585514909337605
0,Truthful Competitor 5,17,0.29653982142814095
0,Truthful Competitor 5,18,0.3091472652797103
0,Truthful Competitor 5,19,0.28473322723047
0,Truthful Competitor 5,20,0.3862949796445052
0,Truthful Competitor 5,21,0.27083635032137066
0,Truthful Competitor 5,22,0.2853558766296951
0,Truthful Competitor 5,23,0.40636057080124083
0,Truthful Competitor 5,24,0.24832329971400935
0,Truthful Competitor 6,0,32.64741950885175
0,Truthful Competitor 6,1,0.7619425426579786
0,Truthful Competitor 6,2,0.631798856943895
0,Truthful Competitor 6,3,inf
0,Truthful Competitor 6,4,inf
0,Truthful Competitor 6,5,0.7614332749529167
0,Truthful Competitor 6,6,inf
0,Truthful Competitor 6,7,0.4366137227932729
0,Truthful Competitor 6,8,0.781891556923054
0,Truthful Competitor 6,9,0.11923979873910648
0,Truthful Competitor 6,10,inf
0,Truthful Competitor 6,11,inf
0,Truthful Competitor 6,12,inf
0,Truthful Competitor 6,13,inf
0,Truthful Competitor 6,14,inf
0,Truthful Competitor 6,15,0.20617401720214548
0,Truthful Competitor 6,16,0.3178580962804914
0,Truthful Competitor 6,17,1.8421810915856784
0,Truthful Competitor 6,18,0.3779496904695146
0,Truthful Competitor 6,19,0.3723070147134354
0,Truthful Competitor 6,20,inf
0,Truthful Competitor 6,21,0.0
0,Truthful Competitor 6,22,0.0
0,Truthful Competitor 6,23,inf
0,Truthful Competitor 6,24,0.0
0,Truthful Competitor 7,0,2.972338272243166
0,Truthful Competitor 7,1,0.41168352895429816
0,Truthful Competitor 7,2,0.30142446604461015
0,Truthful Competitor 7,3,0.3299311094861749
0,Truthful Competitor 7,4,0.3343756675344784
0,Truthful Competitor 7,5,0.28718927328191907
0,Truthful Competitor 7,6,0.3224116297460125
0,Truthful Competitor 7,7,0.31825154491297264
0,Truthful Competitor 7,8,0.30406241582883203
0,Truthful Competitor 7,9,0.3176702365969683
0,Truthful Competitor 7,10,0.3046548244796486
0,Truthful Competitor 7,11,0.3149195512478759
0,Truthful Competitor 7,12,0.2979451162213214
0,Truthful Competitor 7,13,0.3127159745225894
0,Truthful Competitor 7,14,0.30990385340546467
0,Truthful Competitor 7,15,0.3411868686575668
0,Truthful Competitor 7,16,0.3044861866247289
0,Truthful Competitor 7,17,0.3090882732589059
0,Truthful Competitor 7,18,0.30097127546609914
0,Truthful Competitor 7,19,0.3077396792897661
0,Truthful Competitor 7,20,0.3432600300261987
0,Truthful Competitor 7,21,0.3226897231167632
0,Truthful Competitor 7,22,0.3129356219133901
0,Truthful Competitor 7,23,0.3069214991780735
0,Truthful Competitor 7,24,0.3129068732508399
0,Truthful Competitor 8,0,6.131526544054564
0,Truthful Competitor 8,1,0.6760528105316599
0,Truthful Competitor 8,2,0.3962524074275398
0,Truthful Competitor 8,3,0.4930328662301621
0,Truthful Competitor 8,4,0.46411930364874027
0,Truthful Competitor 8,5,0.3566739177886704
0,Truthful Competitor 8,6,0.3328038072371219
0,Truthful Competitor 8,7,0.40446608969811587
0,Truthful Competitor 8,8,0.3914196283878312
0,Truthful Competitor 8,9,0.3423190835602058
0,Truthful Competitor 8,10,0.34816027244412034
0,Truthful Competitor 8,11,0.4485114548774907
0,Truthful Competitor 8,12,0.3759544592469271
0,Truthful Competitor 8,13,0.4298284182872828
0,Truthful Competitor 8,14,0.45975138415103556
0,Truthful Competitor 8,15,0.41944907490539396
0,Truthful Competitor 8,16,0.39516818164801887
0,Truthful Competitor 8,17,0.3565711413356593
0,Truthful Competitor 8,18,0.4351095918918581
0,Truthful Competitor 8,19,0.3357734911451087
0,Truthful Competitor 8,20,0.38012331135449834
0,Truthful Competitor 8,21,0.3920713874388108
0,Truthful Competitor 8,22,0.4233483335266512
0,Truthful Competitor 8,23,0.3661815283236113
0,Truthful Competitor 8,24,0.43694235282631005
0,Truthful Competitor 9,0,10.607807296920887
0,Truthful Competitor 9,1,1.9319081742780082
0,Truthful Competitor 9,2,0.12661746755589098
0,Truthful Competitor 9,3,1.0152801843423513
0,Truthful Competitor 9,4,0.533009404545407
0,Truthful Competitor 9,5,0.7350672678759697
0,Truthful Competitor 9,6,inf
0,Truthful Competitor 9,7,0.5523343554855893
0,Truthful Competitor 9,8,0.22907462221946467
0,Truthful Competitor 9,9,0.29382741649266947
0,Truthful Competitor 9,10,1.3209880096892783
0,Truthful Competitor 9,11,0.9655087270805698
0,Truthful Competitor 9,12,0.2732826726245413
0,Truthful Competitor 9,13,inf
0,Truthful Competitor 9,14,0.5202367242924051
0,Truthful Competitor 9,15,0.7108720119861467
0,Truthful Competitor 9,16,0.4558227662078492
0,Truthful Competitor 9,17,0.6187903440087889
0,Truthful Competitor 9,18,0.7273500954364501
0,Truthful Competitor 9,19,0.4199544192434324
0,Truthful Competitor 9,20,0.39809070071184804
0,Truthful Competitor 9,21,0.5323286651409295
0,Truthful Competitor 9,22,0.7819039338517006
0,Truthful Competitor 9,23,0.6161282281221167
0,Truthful Competitor 9,24,0.5473731622143385
0,Truthful Competitor 10,0,5.650996343797198
