Run,Agent,Iteration,Total Conversions
0,PPO Bidder - Net Utility 1,0,251
0,PPO Bidder - Net Utility 1,1,540
0,PPO Bidder - Net Utility 1,2,836
0,PPO Bidder - Net Utility 1,3,927
0,PPO Bidder - Net Utility 1,4,882
0,PPO Bidder - Net Utility 1,5,916
0,PPO Bidder - Net Utility 1,6,854
0,PPO Bidder - Net Utility 1,7,879
0,PPO Bidder - Net Utility 1,8,817
0,PPO Bidder - Net Utility 1,9,876
0,PPO Bidder - Net Utility 1,10,882
0,PPO Bidder - Net Utility 1,11,852
0,PPO Bidder - Net Utility 1,12,838
0,PPO Bidder - Net Utility 1,13,871
0,PPO Bidder - Net Utility 1,14,865
0,PPO Bidder - Net Utility 1,15,909
0,PPO Bidder - Net Utility 1,16,841
0,PPO Bidder - Net Utility 1,17,958
0,PPO Bidder - Net Utility 1,18,917
0,PPO Bidder - Net Utility 1,19,911
0,PPO Bidder - Net Utility 1,20,911
0,PPO Bidder - Net Utility 1,21,949
0,PPO Bidder - Net Utility 1,22,943
0,PPO Bidder - Net Utility 1,23,867
0,PPO Bidder - Net Utility 1,24,892
0,Truthful Competitor 2,0,2
0,Truthful Competitor 2,1,3
0,Truthful Competitor 2,2,104
0,Truthful Competitor 2,3,75
0,Truthful Competitor 2,4,74
0,Truthful Competitor 2,5,49
0,Truthful Competitor 2,6,66
0,Truthful Competitor 2,7,58
0,Truthful Competitor 2,8,41
0,Truthful Competitor 2,9,54
0,Truthful Competitor 2,10,55
0,Truthful Competitor 2,11,50
0,Truthful Competitor 2,12,65
0,Truthful Competitor 2,13,58
0,Truthful Competitor 2,14,77
0,Truthful Competitor 2,15,47
0,Truthful Competitor 2,16,56
0,Truthful Competitor 2,17,51
0,Truthful Competitor 2,18,72
0,Truthful Competitor 2,19,60
0,Truthful Competitor 2,20,52
0,Truthful Competitor 2,21,53
0,Truthful Competitor 2,22,64
0,Truthful Competitor 2,23,64
0,Truthful Competitor 2,24,60
0,Truthful Competitor 3,0,0
0,Truthful Competitor 3,1,0
0,Truthful Competitor 3,2,0
0,Truthful Competitor 3,3,0
0,Truthful Competitor 3,4,0
0,Truthful Competitor 3,5,0
